fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Per MPI rank memory allocation (min/avg/max) = 4.236 | 4.236 | 4.236 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
     15800  -6402.7602      58417.553      1.4353183     -686.49667      1122.5727     -6152.1657     -6177.1963    
     15900  -6385.9834      59635.344      1.4060082     -467.17222      1100.5654     -6140.3017     -6157.6905    
     16000  -6406.9814      58560.417      1.4318167      996.10596      1118.4721     -6157.3023     -6120.8941    
     16100  -6394.2007      59806.262      1.40199       -256.10551      1119.8098     -6144.223      -6153.783     
     16200  -6392.5947      59805.95       1.4019974     -240.12687      1085.2066     -6150.3415     -6159.305     
     16300  -6403.4818      59424.599      1.4109945      64.728753      1080.0774     -6162.3737     -6159.9729    
     16400  -6399.5565      59705.463      1.404357      -54.023934      1098.0998     -6154.4251     -6156.4384    
     16500  -6390.0936      59586.52       1.4071603      329.85341      1058.2733     -6153.8528     -6141.5853    
     16600  -6407.7556      59082.7        1.4191596      233.91108      1088.2824     -6164.8158     -6156.19      
     16700  -6401.8052      59194.912      1.4164694     -402.8816       1128.0818     -6149.981      -6164.8661    
     16800  -6397.5543      59172.632      1.4170028      608.29443      1091.9824     -6153.7886     -6131.3227    
     16900  -6382.5865      59676.911      1.4050289      1131.0767      1106.0965     -6135.6701     -6093.5404    
     17000  -6392.9163      59304.11       1.4138613      77.547566      1080.2644     -6151.7664     -6148.896     
     17100  -6398.7455      58917.193      1.4231463      205.46249      1099.3861     -6153.3271     -6145.7716    
     17200  -6407.4465      58372.573      1.4364243      29.957912      1092.9416     -6163.4666     -6162.3752    
     17300  -6406.8163      57277.248      1.4638934      1084.5714      1098.4434     -6161.6083     -6122.8352    
     17400  -6398.6811      57767.091      1.4514801     -292.28823      1069.0217     -6160.0409     -6170.5795    
     17500  -6408.5668      58120.427      1.442656      -614.51205      1039.6341     -6176.4869     -6198.7789    
     17600  -6412.8834      58074.051      1.4438081      561.59353      1152.8692     -6155.5258     -6135.1698    
     17700  -6403.8569      59082.42       1.4191664      296.59768      1118.6665     -6154.1344     -6143.197     
     17800  -6399.2903      58152.362      1.4418638      949.3808       1089.0093     -6156.1883     -6121.7297    
     17900  -6419.644       58466.416      1.4341187      545.77532      1097.2726     -6174.6974     -6154.781     
     18000  -6408.777       58613.408      1.4305222      362.83858      1114.6164     -6159.9587     -6146.6847    
     18100  -6414.6943      59076.349      1.4193122     -1418.0277      1079.0865     -6173.8074     -6226.0937    
     18200  -6414.1469      58055.887      1.4442598      1352.175       1145.2672     -6158.4863     -6109.4894    
     18300  -6398.23        59168.645      1.4170983     -855.53222      1074.3097     -6158.4094     -6190.0044    
     18400  -6387.0615      59218.282      1.4159104     -465.20675      1084.6234     -6144.9385     -6162.1331    
     18500  -6391.8655      59506.49       1.4090528     -184.78186      1097.9579     -6146.7658     -6153.6288    
     18600  -6402.0741      59857.496      1.40079       -428.44056      1068.3506     -6163.5837     -6179.5903    
     18700  -6395.4394      60145.785      1.3940758      310.9612       1123.3142     -6144.6794     -6133.0059    
     18800  -6400.9931      60169.998      1.3935148      214.91413      1086.4923     -6158.453      -6150.3818    
     18900  -6404.2712      59914.262      1.3994629     -183.38521      1046.7431     -6170.6044     -6177.4622    
     19000  -6402.9111      60030.249      1.3967589      220.66173      1114.1019     -6154.2076     -6145.9399    
     19100  -6397.9706      59131.706      1.4179835      370.39133      1140.15       -6143.4524     -6129.7823    
     19200  -6394.8046      59851.08       1.4009402      203.32983      1064.797      -6157.1076     -6149.5119    
     19300  -6399.1476      59234.651      1.4155192      4.9865323      1101.0294     -6153.3623     -6153.1779    
     19400  -6403.4091      59280.748      1.4144184      640.6008       1073.487      -6163.7722     -6140.0699    
     19500  -6396.8208      58886.02       1.4238997      416.14811      1135.0504     -6143.4409     -6128.1459    
     19600  -6405.4928      58536.183      1.4324095     -11.434426      1105.7327     -6158.6576     -6159.0754    
     19700  -6411.0681      59566.643      1.4076298     -529.38259      1062.9097     -6173.7923     -6193.474     
     19800  -6410.7312      59739.036      1.4035677      5.8900028      1133.0592     -6157.7958     -6157.5762    
     19900  -6395.176       59288.74       1.4142278      428.01363      1095.2069     -6150.6904     -6134.8517    
     20000  -6393.095       59041.073      1.4201602     -265.46772      1085.8405     -6150.7004     -6160.483     
     20100  -6402.513       57961.049      1.4466229      1502.2299      1117.5886     -6153.0311     -6098.6858    
     20200  -6409.4021      58162.333      1.4416166     -328.38434      1075.6252     -6169.2878     -6181.2089    
     20300  -6412.4555      58555.287      1.4319422      244.73498      1114.837      -6163.588      -6154.6435    
     20400  -6396.476       59197.829      1.4163996     -982.27668      1088.5064     -6153.4863     -6189.7798    
     20500  -6412.1413      58040.136      1.4446518      728.83376      1110.9187     -6164.1484     -6137.7458    
     20600  -6410.9175      58546.373      1.4321602     -430.25793      1118.0579     -6161.3309     -6177.0533    
     20700  -6402.547       58938.374      1.4226348     -283.31826      1142.4976     -6147.5047     -6157.927     
     20800  -6406.3362      58764.371      1.4268473     -155.61992      1097.7819     -6161.2759     -6166.9837    
     20900  -6404.3559      58685.572      1.4287632     -774.7375       1124.7127     -6153.2837     -6181.6613    
     21000  -6397.394       57920.051      1.4476469      1183.7957      1097.053      -6152.4964     -6109.7012    
     21100  -6411.3125      58470.081      1.4340289      371.67385      1098.7698     -6166.0316     -6152.4677    
     21200  -6406.1706      58973.746      1.4217815      1.7452165      1098.1403     -6161.0302     -6160.966     
     21300  -6396.4582      59549.543      1.408034      -827.85184      1086.1471     -6153.9951     -6184.7646    
     21400  -6403.0912      58886.166      1.4238961      694.07267      1108.6496     -6155.6048     -6130.095     
     21500  -6402.8932      59017.851      1.420719       12.650175      1043.0887     -6170.0421     -6169.5761    
     21600  -6403.7599      58845.376      1.4248831      208.41926      1077.7676     -6163.1674     -6155.5125    
     21700  -6401.4422      59376.824      1.4121298      613.89744      1113.6053     -6152.8495     -6130.0984    
     21800  -6407.935       59372.179      1.4122403      252.82094      1084.7046     -6165.7939     -6156.4251    
     21900  -6400.922       59587.701      1.4071324      144.52275      1133.7034     -6147.8428     -6142.4677    
     22000  -6395.6348      59532.811      1.4084298     -99.536623      1077.7113     -6155.0549     -6158.7534    
     22100  -6399.8492      58604.14       1.4307485      536.50127      1127.9697     -6148.05       -6128.4259    
     22200  -6404.3708      59224.795      1.4157547     -361.85943      1101.1367     -6158.5615     -6171.9378    
     22300  -6397.9864      59125.622      1.4181294      128.42388      1074.473      -6158.1293     -6153.3901    
     22400  -6396.8682      59148.122      1.41759        1043.473       1103.0034     -6150.6422     -6112.12      
