fix 0 all npt temp ${T0}. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. ${T0}. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. $(40.0*dt) iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso ${P0}. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. ${P0}. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. $(100.0*dt)
fix 0 all npt temp 1100. 1100. 0.080000000000000001665 iso 1. 1. 0.2000000000000000111
run 500000
Generated 0 of 1 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 11
  ghost atom cutoff = 11
  binsize = 5.5, bins = 7 7 7
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair born/coul/dsf, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 4.223 | 4.223 | 4.223 Mbytes
   Step         PotEng         Volume        Density         Press           Temp          TotEng        Enthalpy   
     14200  -6655.8231      45491.347      1.843159       1123.257       1087.7761     -6412.9964     -6381.1032    
     14300  -6655.3817      45389.294      1.8473031      1345.5474      1127.7372     -6403.6343     -6365.5153    
     14400  -6646.6887      45905.43       1.826533      -103.79213      1096.8881     -6401.8279     -6404.8018    
     14500  -6648.0313      45588.545      1.8392292      1017.9881      1037.0592     -6416.5262     -6387.5603    
     14600  -6659.3564      45450.189      1.844828       259.61911      1085.8359     -6416.9628     -6409.5979    
     14700  -6658.4414      45357.047      1.8486165      983.98541      1091.9744     -6414.6775     -6386.8212    
     14800  -6643.011       45890.44       1.8271297     -200.24075      1096.654      -6398.2025     -6403.9379    
     14900  -6669.6479      45387.569      1.8473733      124.51274      1123.825      -6418.7739     -6415.2466    
     15000  -6658.8066      45698.413      1.8348074     -917.30868      1103.4517     -6412.4805     -6438.6447    
     15100  -6645.7143      45486.951      1.8433371      1470.4463      1116.3475     -6396.5095     -6354.7625    
     15200  -6658.0206      45499.437      1.8428312      871.97992      1097.2974     -6413.0684     -6388.3055    
     15300  -6659.564       45283.169      1.8516324      1096.0114      1122.2398     -6409.0439     -6378.0667    
     15400  -6653.0368      45956.818      1.8244906     -254.58952      1135.2252     -6399.6178     -6406.9205    
